product_id,category,price,old_name,user_id,status,amount,base_price,region,priority
1001,Electronics,72.28,Bat,53.0,Completed,2000,68.51,North,High
1002,Electronics,84.20,Novel,288.0,Completed,1501,80.67,South,Low
1003,Sports,558.90,Gloves,,Completed,1407,499.98,East,Medium
1004,Furniture,2393.46,Chair,50.0,Completed,3212,2242.5,North,Medium
1005,Groceries,2019.75,Sugar,194.0,Cancelled,1122,1762.52,North,High
1006,Clothing,1447.61,Jacket,149.0,Completed,1966,1268.82,North,High
1007,Electronics,702.15,Tablet,190.0,Pending,1432,622.95,East,High
1008,Sports,1757.53,Helmet,274.0,Completed,1501,1546.16,South,High
1009,Books,682.17,Textbook,113.0,Cancelled,4662,575.63,East,High
1010,Furniture,2014.56,Table,291.0,Completed,1828,1864.93,East,High
1011,Sports,995.12,Gloves,136.0,Pending,1270,841.25,South,High
1012,Sports,1870.06,Helmet,186.0,Cancelled,3371,1722.47,South,High
1013,Groceries,236.36,Milk,82.0,Completed,1352,234.15,West,Low
1014,Electronics,960.23,Tablet,284.0,Cancelled,2159,800.71,North,Low
1015,Sports,1707.46,Bat,58.0,Pending,2886,1541.87,East,Medium
1016,Furniture,18.08,Desk,257.0,Cancelled,2257,15.8,South,Low
1017,Electronics,2105.76,Mouse,192.0,Completed,1352,1911.66,South,Low
1018,Groceries,1501.37,Rice,158.0,Completed,3073,1367.72,South,High
1019,Furniture,223.28,Table,65.0,Completed,4463,203.5,South,Low
1020,Books,421.17,Magazine,109.0,Cancelled,3566,380.96,South,Low
1021,Clothing,2487.92,Shoes,232.0,Pending,4339,2201.75,North,High
1022,Furniture,851.83,Table,113.0,Completed,4920,762.15,North,High
1023,Sports,580.07,Bat,264.0,Pending,680,491.13,South,Medium
1024,Sports,543.45,Gloves,243.0,Cancelled,4820,529.44,South,Medium
1025,Books,244.87,Novel,211.0,Pending,3569,216.36,West,Low
1026,Electronics,160.93,Laptop,99.0,Completed,2136,140.47,South,Low
1027,Books,1060.49,Novel,227.0,Completed,717,1004.53,North,High
1028,Sports,2422.80,Bat,209.0,Completed,1462,2044.09,West,Medium
1029,Furniture,2257.08,Desk,136.0,Completed,3298,2185.13,West,Medium
1030,Books,2393.72,Magazine,80.0,Cancelled,4086,1996.29,South,Medium
1031,Furniture,1452.16,Table,30.0,Cancelled,2669,1310.09,North,Low
1032,Books,2299.27,Magazine,42.0,Completed,4260,2078.48,South,High
1033,Groceries,1691.28,Rice,127.0,Completed,4766,1615.3,North,Low
1034,Electronics,1646.86,Tablet,105.0,Pending,2236,1479.6,East,High
1035,Clothing,335.89,Shoes,38.0,Pending,2690,297.48,North,Medium
1036,Groceries,192.42,Rice,179.0,Pending,1185,184.55,North,High
1037,Clothing,402.79,Jacket,271.0,Cancelled,2578,345.22,North,Low
1038,Groceries,2330.07,Sugar,60.0,Completed,2266,2282.78,North,Low
1039,Groceries,688.15,Oil,105.0,Cancelled,2908,613.89,East,Low
1040,Books,2264.29,Textbook,142.0,Completed,3569,1936.58,North,High
1041,Clothing,1596.41,Jeans,283.0,Cancelled,3719,1516.94,West,Low
1042,Electronics,197.36,Laptop,19.0,Completed,4569,167.73,East,Low
1043,Groceries,1080.17,Oil,184.0,Pending,426,1071.21,South,Low
1044,Furniture,890.66,Table,122.0,Pending,1366,800.97,South,High
1045,Books,456.61,Novel,137.0,Pending,2132,385.36,South,Low
1046,Electronics,2181.70,Tablet,236.0,Completed,1734,1861.97,East,Medium
1047,Furniture,68.92,Chair,36.0,Pending,2382,66.36,East,Medium
1048,Sports,1702.00,Gloves,60.0,Pending,326,1456.28,East,High
1049,Groceries,105.26,Sugar,224.0,Pending,2669,94.04,North,Medium
1050,Groceries,644.26,Oil,,Completed,4359,564.27,South,Medium
1051,Books,2372.70,Novel,64.0,Cancelled,2671,2003.71,East,Low
1052,Clothing,822.20,Shoes,99.0,Cancelled,1142,721.58,West,Low
1053,Books,1872.86,Magazine,208.0,Cancelled,2565,1809.87,North,Medium
1054,Clothing,1080.42,Jeans,239.0,Cancelled,2739,968.12,West,Medium
1055,Sports,1282.82,Ball,44.0,Cancelled,1490,1107.08,East,Low
1056,Sports,242.53,Helmet,116.0,Completed,2642,203.74,South,High
1057,Electronics,619.66,Phone,213.0,Completed,3830,565.89,South,Low
1058,Sports,1241.00,Gloves,55.0,Cancelled,145,1183.26,West,High
1059,Furniture,135.04,Desk,69.0,Completed,3839,128.63,West,Low
1060,Groceries,2375.60,Sugar,219.0,Cancelled,4235,2016.15,West,High
1061,Sports,1130.67,Gloves,267.0,Cancelled,2371,982.89,West,Low
1062,Furniture,1105.28,Sofa,172.0,Completed,2325,967.25,East,Low
1063,Electronics,385.57,Monitor,33.0,Completed,1852,358.13,West,Medium
1064,Clothing,1045.28,Shoes,300.0,Pending,3290,1003.76,North,Low
1065,Books,24.68,Textbook,276.0,Pending,3532,23.06,South,Medium
1066,Furniture,1095.23,Sofa,85.0,Pending,3412,1088.91,West,High
1067,Groceries,2268.25,Rice,43.0,Cancelled,322,2028.16,West,High
1068,Books,135.21,Novel,168.0,Completed,3824,125.68,East,Medium
1069,Clothing,638.16,Shoes,27.0,Completed,4518,627.87,East,High
1070,Sports,1955.27,Bat,103.0,Completed,2125,1729.79,North,Low
1071,Furniture,324.29,Chair,239.0,Cancelled,1885,286.0,East,Medium
1072,Furniture,1946.70,Table,297.0,Pending,985,1884.96,North,Medium
1073,Groceries,997.67,Milk,125.0,Completed,4950,872.85,North,Low
1074,Clothing,1992.61,Shirt,273.0,Completed,2944,1790.01,West,Low
1075,Clothing,1269.84,Shirt,55.0,Pending,4115,1188.71,West,Medium
1076,Sports,1771.20,Gloves,139.0,Cancelled,4374,1629.29,West,Medium
1077,Books,1485.26,Magazine,143.0,Completed,809,1395.32,West,High
1078,Books,1529.73,Magazine,167.0,Completed,4149,1421.95,South,Medium
1079,Furniture,1996.60,Sofa,285.0,Cancelled,2363,1869.36,North,Low
1080,Furniture,610.98,Table,244.0,Cancelled,2068,565.05,West,Medium
1081,Electronics,742.65,Laptop,298.0,Completed,2608,687.08,East,Medium
1082,Groceries,1069.50,Sugar,233.0,Pending,2982,930.66,East,Medium
1083,Clothing,310.43,Jeans,95.0,Completed,4489,298.92,South,High
1084,Sports,698.48,Gloves,145.0,Cancelled,4988,624.8,North,High
1085,Clothing,908.59,Jeans,65.0,Cancelled,4475,856.79,East,High
1086,Electronics,1746.57,Mouse,7.0,Pending,940,1703.55,East,Medium
1087,Books,858.36,Textbook,59.0,Pending,4013,719.44,North,Medium
1088,Books,1446.78,Novel,289.0,Completed,1322,1272.13,East,High
1089,Furniture,1399.60,Table,268.0,Cancelled,1948,1292.06,West,Medium
1090,Books,2151.81,Textbook,31.0,Pending,4758,1796.16,North,High
1091,Sports,668.97,Ball,283.0,Completed,1523,658.28,North,High
1092,Electronics,1131.75,Tablet,119.0,Pending,367,1011.61,East,Low
1093,Clothing,187.24,Shoes,102.0,Pending,4931,178.89,West,High
1094,Groceries,1622.61,Oil,31.0,Completed,684,1373.14,South,Medium
1095,Groceries,1103.49,Sugar,140.0,Pending,3397,1008.91,West,Medium
1096,Electronics,2224.66,Phone,14.0,Cancelled,2151,1939.7,North,High
1097,Sports,2498.94,Bat,21.0,Pending,4820,2202.76,South,Medium
1098,Groceries,2291.02,Milk,252.0,Cancelled,3670,2210.77,North,Medium
1099,Clothing,839.94,Shoes,211.0,Completed,2801,740.67,West,Medium
1100,Sports,2035.78,Gloves,,Pending,821,1834.0,East,Medium
1101,Clothing,2425.76,Shirt,278.0,Cancelled,109,2244.34,West,Medium
1102,Electronics,1300.91,Keyboard,27.0,Pending,3721,1156.85,South,Medium
1103,Groceries,2319.91,Oil,63.0,Cancelled,4070,2133.01,North,Low
1104,Groceries,1777.36,Oil,209.0,Completed,4624,1673.36,North,High
1105,Electronics,2368.18,Camera,150.0,Completed,4182,2096.58,East,Medium
1106,Books,616.89,Textbook,261.0,Pending,1661,555.63,South,High
1107,Clothing,856.29,Shoes,145.0,Pending,121,739.75,East,Low
1108,Groceries,2164.50,Milk,171.0,Pending,2927,1987.04,West,Medium
1109,Clothing,2452.13,Jeans,211.0,Pending,2013,2340.35,North,Medium
1110,Sports,1766.02,Gloves,254.0,Pending,1346,1519.44,North,High
1111,Groceries,2175.55,Sugar,270.0,Pending,916,1851.79,West,High
1112,Sports,1030.85,Ball,241.0,Completed,712,911.49,East,Medium
1113,Groceries,1628.09,Milk,195.0,Cancelled,4471,1391.11,East,Low
1114,Sports,2182.23,Gloves,148.0,Completed,2023,2166.67,South,Low
1115,Electronics,2446.06,Tablet,228.0,Cancelled,923,2123.18,South,Low
1116,Clothing,124.52,Shirt,192.0,Pending,3036,107.42,West,High
1117,Furniture,1419.16,Desk,41.0,Completed,1534,1224.99,West,Low
1118,Sports,1249.19,Ball,131.0,Completed,3877,1118.71,West,Medium
1119,Sports,2248.28,Bat,81.0,Pending,4577,2056.89,North,Medium
1120,Clothing,1600.96,Jacket,155.0,Pending,3842,1475.73,South,Medium
1121,Books,600.64,Novel,152.0,Cancelled,2523,538.99,North,Low
1122,Books,30.16,Textbook,255.0,Cancelled,501,25.71,East,High
1123,Groceries,555.32,Sugar,50.0,Pending,1220,534.98,North,Medium
1124,Books,1453.14,Novel,168.0,Completed,2517,1267.49,West,High
1125,Furniture,1968.42,Chair,257.0,Pending,4448,1674.83,East,High
1126,Clothing,2418.79,Shoes,240.0,Pending,1043,2283.97,North,High
1127,Furniture,2418.50,Desk,203.0,Pending,839,2083.27,North,Medium
1128,Groceries,1142.42,Rice,300.0,Cancelled,2247,1006.92,West,Low
1129,Clothing,1690.34,Shirt,168.0,Cancelled,4699,1544.68,South,Low
1130,Electronics,2274.38,Camera,72.0,Pending,1055,2144.76,North,High
1131,Clothing,299.14,Shoes,199.0,Cancelled,1211,285.72,West,Medium
1132,Sports,1472.48,Gloves,251.0,Pending,911,1285.65,West,Medium
1133,Electronics,551.00,Headphones,51.0,Completed,3071,506.0,East,Low
1134,Sports,160.77,Helmet,47.0,Completed,3825,152.36,South,Low
1135,Sports,135.94,Bat,106.0,Completed,4725,127.44,North,Low
1136,Furniture,2034.50,Chair,2.0,Completed,4982,1943.91,East,High
1137,Furniture,1998.30,Sofa,8.0,Completed,1179,1955.31,East,High
1138,Groceries,49.29,Sugar,270.0,Completed,3548,46.81,North,Low
1139,Electronics,1126.21,Camera,232.0,Cancelled,993,1050.17,South,Low
1140,Electronics,1150.53,Mouse,206.0,Completed,4023,964.56,West,Low
1141,Electronics,1783.88,Camera,76.0,Completed,2738,1638.52,North,High
1142,Clothing,958.45,Jacket,259.0,Pending,3816,856.16,West,High
1143,Sports,2133.45,Bat,221.0,Cancelled,1861,1887.7,West,High
1144,Books,2070.27,Textbook,161.0,Cancelled,878,1917.37,West,Medium
1145,Sports,942.01,Helmet,47.0,Pending,649,914.1,North,High
1146,Books,1864.03,Novel,31.0,Completed,4657,1734.74,East,Low
1147,Electronics,890.46,Tablet,148.0,Pending,521,785.88,East,Medium
1148,Electronics,395.28,Keyboard,285.0,Completed,2968,360.51,East,High
1149,Clothing,2019.98,Jeans,14.0,Cancelled,4660,1727.91,East,High
1150,Furniture,1759.72,Sofa,,Pending,2975,1657.3,North,High
1151,Furniture,183.27,Desk,272.0,Completed,851,159.62,South,Medium
1152,Books,858.83,Textbook,291.0,Cancelled,2757,799.65,North,High
1153,Furniture,1888.55,Chair,227.0,Completed,2329,1869.94,West,Medium
1154,Groceries,1041.32,Milk,177.0,Cancelled,1032,998.28,West,High
1155,Clothing,1322.07,Shoes,29.0,Completed,3337,1245.26,North,High
1156,Clothing,1920.70,Jeans,62.0,Pending,2787,1666.07,North,Medium
1157,Sports,447.48,Gloves,257.0,Cancelled,1985,415.86,East,High
1158,Books,115.33,Magazine,295.0,Completed,2664,114.9,West,Low
1159,Books,1603.95,Magazine,167.0,Pending,270,1516.16,South,Low
1160,Books,2300.23,Magazine,224.0,Completed,2093,2260.39,West,Low
1161,Electronics,2177.61,Tablet,87.0,Completed,2828,1894.96,North,Low
1162,Sports,1331.21,Bat,76.0,Pending,2976,1281.51,South,High
1163,Furniture,501.21,Sofa,91.0,Cancelled,717,447.32,West,Medium
1164,Groceries,1706.02,Milk,162.0,Cancelled,2747,1450.19,South,Medium
1165,Electronics,1111.10,Camera,29.0,Pending,4944,1047.65,East,Low
1166,Electronics,1159.74,Mouse,40.0,Pending,2451,1151.08,North,Low
1167,Groceries,1162.15,Milk,231.0,Cancelled,436,1046.17,South,Medium
1168,Groceries,1258.40,Milk,176.0,Pending,947,1056.11,North,Low
1169,Sports,107.46,Ball,268.0,Pending,4393,94.14,South,Medium
1170,Clothing,974.67,Jacket,27.0,Cancelled,4997,843.95,East,High
1171,Clothing,1399.33,Shirt,171.0,Pending,1331,1298.91,North,Low
1172,Sports,2292.70,Ball,67.0,Cancelled,3310,2158.76,North,Medium
1173,Groceries,1612.30,Milk,48.0,Completed,4412,1512.91,West,Low
1174,Clothing,912.87,Shirt,249.0,Completed,2899,881.1,South,High
1175,Furniture,202.14,Chair,277.0,Completed,4258,172.93,North,Low
1176,Clothing,1497.14,Jeans,225.0,Completed,1456,1452.33,North,Medium
1177,Clothing,2424.28,Jeans,120.0,Cancelled,3777,2160.45,South,Medium
1178,Books,925.92,Novel,145.0,Pending,3882,778.46,West,Low
1179,Groceries,2416.01,Milk,129.0,Cancelled,1233,2076.72,North,Low
1180,Books,1390.81,Textbook,146.0,Cancelled,1121,1362.85,North,High
1181,Clothing,2264.21,Shoes,114.0,Pending,851,2199.39,West,Medium
1182,Electronics,142.61,Tablet,42.0,Completed,3263,129.6,East,High
1183,Electronics,2327.76,Headphones,75.0,Cancelled,2846,1993.23,South,High
1184,Clothing,1743.22,Shoes,230.0,Cancelled,3942,1696.14,North,High
1185,Electronics,546.98,Mouse,217.0,Cancelled,4423,531.1,North,Medium
1186,Furniture,313.40,Sofa,33.0,Cancelled,3844,299.13,North,Medium
1187,Groceries,1583.57,Rice,150.0,Cancelled,1276,1420.23,West,High
1188,Groceries,609.00,Sugar,269.0,Cancelled,801,562.16,East,High
1189,Groceries,982.23,Rice,192.0,Cancelled,3269,897.81,East,Low
1190,Electronics,1973.41,Headphones,298.0,Cancelled,949,1846.1,East,High
1191,Electronics,1369.57,Headphones,246.0,Completed,3906,1177.92,South,High
1192,Electronics,102.09,Camera,162.0,Completed,443,98.13,East,Low
1193,Books,1188.77,Magazine,147.0,Cancelled,1665,1180.13,East,High
1194,Sports,690.31,Helmet,226.0,Pending,3376,595.16,West,Medium
1195,Furniture,1733.25,Desk,43.0,Cancelled,2284,1614.62,West,High
1196,Books,2487.79,Magazine,53.0,Pending,2731,2401.13,North,Medium
1197,Sports,773.17,Helmet,228.0,Pending,1465,690.01,East,Medium
1198,Electronics,1540.98,Headphones,39.0,Cancelled,569,1417.66,West,Medium
1199,Groceries,2382.45,Oil,18.0,Cancelled,3689,2316.31,South,High
1200,Furniture,911.75,Sofa,,Completed,1356,766.25,West,Medium
1201,Clothing,1910.08,Shoes,204.0,Cancelled,3106,1713.41,East,Low
1202,Clothing,2401.69,Jeans,266.0,Completed,4188,2389.31,West,Low
1203,Electronics,1939.66,Mouse,252.0,Completed,2439,1700.25,South,High
1204,Furniture,1135.59,Table,164.0,Pending,819,962.58,East,Low
1205,Electronics,2229.42,Mouse,186.0,Cancelled,1526,1905.04,South,High
1206,Furniture,599.47,Chair,294.0,Pending,4638,545.57,East,Medium
1207,Groceries,1533.75,Oil,246.0,Pending,3361,1507.75,West,Medium
1208,Groceries,322.06,Rice,239.0,Completed,3786,302.86,East,High
1209,Groceries,1921.78,Oil,64.0,Cancelled,553,1873.43,South,Medium
1210,Furniture,813.43,Chair,146.0,Pending,4350,712.37,North,Medium
1211,Furniture,321.67,Sofa,258.0,Cancelled,865,303.3,South,Low
1212,Groceries,436.29,Oil,289.0,Cancelled,2865,387.85,North,High
1213,Electronics,2371.88,Phone,293.0,Pending,1826,2054.99,West,Low
1214,Sports,1250.11,Bat,248.0,Pending,2574,1110.78,South,Low
1215,Books,1139.32,Textbook,213.0,Completed,3701,1001.4,West,Medium
1216,Furniture,1520.58,Sofa,177.0,Cancelled,2715,1431.11,West,High
1217,Clothing,804.60,Shirt,127.0,Pending,3783,735.94,South,High
1218,Electronics,2364.01,Mouse,82.0,Pending,2133,2015.64,East,Low
1219,Sports,482.69,Helmet,256.0,Cancelled,3924,467.78,East,Medium
1220,Electronics,2363.63,Laptop,299.0,Completed,1862,2146.63,East,High
